"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "SVG", "comment", "blank", "total"
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Textarea\Textarea.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 5, 18
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\getFeatures.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\lead-data-to-correct.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\make-price.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\random-id.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\navigation-categories-page\src\helpers\transform-data.ts", "TypeScript", 14, 0, 0, 0, 0, 4, 18
"c:\Users\User\Desktop\navigation-categories-page\src\index.css", "CSS", 0, 0, 26, 0, 0, 3, 29
"c:\Users\User\Desktop\navigation-categories-page\src\index.tsx", "TypeScript JSX", 0, 17, 0, 0, 3, 5, 25
"c:\Users\User\Desktop\navigation-categories-page\src\logo.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\navigation-categories-page\src\mock\categoty.mock.ts", "TypeScript", 63, 0, 0, 0, 0, 1, 64
"c:\Users\User\Desktop\navigation-categories-page\src\mock\goods.mock.ts", "TypeScript", 8129, 0, 0, 0, 0, 1, 8130
"c:\Users\User\Desktop\navigation-categories-page\src\mock\product-modal.mock.ts", "TypeScript", 154, 0, 0, 0, 0, 1, 155
"c:\Users\User\Desktop\navigation-categories-page\src\mock\sub_category.mock.ts", "TypeScript", 290, 0, 0, 0, 0, 1, 291
"c:\Users\User\Desktop\navigation-categories-page\src\mock\table-user.mock.ts", "TypeScript", 8005, 0, 0, 0, 0, 1, 8006
"c:\Users\User\Desktop\navigation-categories-page\src\mock\users.mock.ts", "TypeScript", 8006, 0, 0, 0, 0, 1, 8007
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Banners\Banners.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Brands\Brands.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Categories.module.css", "CSS", 0, 0, 42, 0, 0, 6, 48
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Categories.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 13, 121
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\EditCategoryItem\EditCategoryItem.module.css", "CSS", 0, 0, 25, 0, 0, 4, 29
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\EditCategoryItem\EditCategoryItem.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 11, 57
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\EditCategoryItem\IEditCategoryProps.ts", "TypeScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Placeholder\IPlaceholderProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Placeholder\Placeholder.module.css", "CSS", 0, 0, 12, 0, 0, 2, 14
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Categories\Placeholder\Placeholder.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 5, 16
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Cities\Cities.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\ActionPages\ActionPages.module.css", "CSS", 0, 0, 7, 0, 0, 1, 8
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\ActionPages\ActionPages.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 5, 30
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\Clients.module.css", "CSS", 0, 0, 8, 0, 0, 1, 9
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Clients\Clients.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Home\Home.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Login\Login.module.css", "CSS", 0, 0, 22, 0, 0, 4, 26
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Login\Login.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 7, 55
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Orders\Orders.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Products\Products.module.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Products\Products.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 8, 57
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Products\TestProduct\TestProduct.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 4, 14
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Promocode\Promocode.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Protocols\Protocols.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Register\Register.module.css", "CSS", 0, 0, 18, 0, 0, 3, 21
"c:\Users\User\Desktop\navigation-categories-page\src\pages\Register\Register.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 6, 50
